投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
487053,长城汽车,WEY P8,2018款 2.0T 旗舰型,WEY P8配件质量差导致频繁故障,人员技术多次返修配件争议配件质量差,2020-06-22,厂家受理
487051,吉利汽车,熊猫,2009款 1.3L 手动 灵动版,吉利熊猫转向机故障要求尽快处理,转向系统转向机故障,2020-06-22,信息审核
487042,奔驰（进口）,奔驰S级,2019款 S 320 L,进口奔驰S级发动机水温高一直未解决,发动机冷却系统故障,2020-06-22,信息审核
487041,上汽斯柯达,柯迪亚克,2019款 TSI330 两驱 舒适版 5座 国VI,斯柯达柯迪亚克厂家置换补贴未兑现	,承诺不兑现销售承诺不兑现,2020-06-22,信息审核
487039,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客变速箱阀体故障要求尽快解决,变速器滑阀箱故障,2020-06-22,信息审核
487037,广汽本田,锋范,2015款 1.5L CVT 豪华版,广汽本田锋范发动机冷启动异响要求厂家保修,发动机异响,2020-06-22,信息审核
487036,上汽大众,凌渡,2015款 330TSI DSG 舒适版,上汽大众凌渡车内一直存在浓重的异味,车身附件及电器车内异味,2020-06-22,信息审核
487031,一汽吉林,森雅R9,2018款 1.2T 自动 豪华智尚型,一汽吉林森雅R9发动机故障灯亮 售后无配件,发动机故障灯亮车身附件及电器行车安全辅助系统故障配件争议无零配件,2020-06-22,信息审核
487030,长安汽车,长安CS55,2018款 1.5T 自动 炫色型 国V,长安CS55车门掉漆 主驾驶门框胶条老化,车身附件及电器漆面起泡开裂车身附件及电器密封条损坏,2020-06-22,处理反馈
487029,奇瑞汽车,捷途X70,2020款 1.5T DCT 悦行版 6座,奇瑞捷途X70变速箱电脑插头密封不严,车身附件及电器电路故障服务态度不予索赔,2020-06-22,处理反馈
487021,华晨宝马,宝马5系,2020款 530Li 尊享型 M运动套装,华晨宝马5系车身稳定系统故障导致故障灯亮,车身附件及电器行车安全辅助系统故障,2020-06-22,信息审核
487018,东风标致,标致308,2013款 1.6L 自动 优尚型,东风标致308变速箱顿挫要求厂家给予保修,变速器顿挫变速器故障灯亮,2020-06-22,信息审核
487017,上汽斯柯达,晶锐,2017款 1.4L 自动 车享版,斯柯达晶锐后门升降器损坏厂未处理,车身附件及电器车窗升降故障服务态度不解决问题,2020-06-22,信息审核
487014,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁动力电池冷却系统失效,车身附件及电器电池组冷却系统故障,2020-06-22,信息审核
487013,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符系统升级未通知,服务态度厂家不回复销售欺诈与宣传不符服务流程不完善活动不通知,2020-06-22,信息审核
487009,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右半轴防尘套漏油严重,前后桥及悬挂系统球笼套漏油,2020-06-22,信息审核
487008,吉利汽车,远景,2020款 1.5L 手动 亚运版,吉利远景新车不带胎压显示功能厂家减配,其他疑似减配,2020-06-22,厂家受理
487003,奇瑞汽车,捷途X70,2018款 1.5T 自动 悦行版,捷途X70悬挂及B柱异响 天窗开关失灵,前后桥及悬挂系统减震器异响车身附件及电器车身异响车身附件及电器天窗开关异常,2020-06-22,处理反馈
486991,广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5变速箱顿挫严重中控屏幕黑屏,变速器顿挫制动系统异响车身附件及电器影音系统故障服务态度不解决问题服务态度态度蛮横,2020-06-22,处理反馈
486989,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动发动机有异响,发动机异响,2020-06-22,信息审核
486981,MINI,MINI,2019款 1.5T COOPER 经典派,MINI天窗开关故障导致车内积水严重,车身附件及电器天窗开关异常,2020-06-22,信息审核
486980,吉利汽车,帝豪,2018款 1.5L CVT 豪华型,吉利帝豪车门生锈 漆面鼓包 要求处理,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020-06-22,处理反馈
486974,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质豪版,长安马自达昂克赛拉扶手箱异响播放音乐卡顿,车身附件及电器影音系统故障车身附件及电器漆面起泡开裂车身附件及电器车内异响,2020-06-22,信息审核
486972,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘出现脱皮现象,车身附件及电器部件开裂,2020-06-22,处理反馈
486970,上汽集团,名爵6,2017款 20T 自动 豪华智联版 国V,上汽名爵6变速箱顿挫异响存在质量问题,变速器异响变速器顿挫,2020-06-22,厂家受理
486965,一汽解放,解放J6P,2011款 解放J6P 9.0 集装箱 半挂 牵引汽车 CA4250P66K24T1A1 EX型,一汽解放J6P卸货过程前置顶折断 车厢侧翻,前后桥及悬挂系统前后桥断裂,2020-06-22,信息审核
486964,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁后备箱与翼子板接缝处未喷漆,车身附件及电器漆面起泡开裂,2020-06-22,信息审核
486963,北京现代,逸行,2018款 1.4T 双离合 逸尚型 国V,北京现代逸行导航故障4S店不给保修,车身附件及电器导航问题服务态度不解决问题服务态度不予索赔人员技术多次返修,2020-06-22,信息审核
486962,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 技术型,一汽大众奥迪Q5节温器和冷却水壶漏防冻液,发动机漏防冻液,2020-06-22,信息审核
486961,几何汽车,几何A,2019款 高维标准续航幂方版,几何A终身免费道路救援承诺不兑现,承诺不兑现服务承诺不兑现,2020-06-22,信息审核
486960,一汽丰田,奕泽IZOA,2018款 2.0L 奕驰版 国VI,一汽丰田奕泽销售人员故意刁难拒绝维修保养,服务态度不解决问题服务态度故意拖延,2020-06-22,信息审核
486959,吉利汽车,帝豪,2018款 1.5L CVT 向上互联版,吉利帝豪中控台异响 方向盘异响厂家不处理,转向系统异响车身附件及电器中控台异响服务态度不解决问题,2020-06-22,处理反馈
486958,沃尔沃亚太,沃尔沃S60,2020款 T3 智行豪华版,亚太沃尔沃S60倍耐力轮胎鼓包质量差,轮胎鼓包,2020-06-22,信息审核
486957,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越实车没有前雾灯与厂家宣传不符,销售欺诈与宣传不符,2020-06-22,处理反馈
486951,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机冷启动异响严重,发动机异响,2020-06-22,信息审核
486948,一汽-大众,CC,2018款 1.8TSI 豪华型,一汽大众CC反光镜自动收回行车雷达故障,车身附件及电器后备箱故障车身附件及电器车灯不亮车身附件及电器行车安全辅助系统故障车身附件及电器后视镜故障服务态度不解决问题人员技术多次返修销售欺诈出售问题车,2020-06-22,处理反馈
486947,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来刹车异响维修未解决问题,制动系统异响,2020-06-22,处理反馈
486934,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机缸盖损坏4S店不予保修,发动机抖动发动机功率不足发动机无法提速服务态度不予索赔人员技术多次返修其他厂家不召回,2020-06-22,信息审核
486931,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级软件后卡顿严重,服务流程不完善系统升级问题,2020-06-22,处理反馈
486930,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408行驶中发动机缺缸抖动,发动机抖动发动机故障灯亮发动机熄火配件争议无零配件,2020-06-22,信息审核
486928,吉利汽车,帝豪,2018款 1.5L CVT 向上互联版,吉利帝豪变速箱异响离合器异响4S店不解决,变速器异响变速器挡把总成故障离合器异响服务态度不解决问题人员技术多次返修,2020-06-22,处理反馈
486927,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机黑屏操作版本与宣传不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-22,处理反馈
486925,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL分离轴承损坏导致离合器沉重,离合器沉重,2020-06-22,处理反馈
486924,东风雪铁龙,C4世嘉,2016款 1.6L 自动 舒适型 悦心版,东风雪铁龙C4世嘉发动机有烧机油的现象,发动机烧机油,2020-06-22,处理反馈
486922,众泰汽车,众泰T300,2017款 1.5L 手动 尊享型,众泰T300天窗震动 左侧后视镜转向灯不亮,车身附件及电器天窗异响车身附件及电器车灯不亮,2020-06-22,处理反馈
486920,长安铃木,奥拓,2016款 1.0L 自动 豪华炫动版,长安铃木奥拓出现事故导致发动机舱自燃,车身附件及电器气囊故障车身附件及电器车辆自燃,2020-06-22,处理反馈
486918,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机故障灯亮4S店无法解决,发动机故障灯亮服务态度不解决问题人员技术多次返修,2020-06-22,信息审核
486915,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越车机系统及功能与宣传时不符,销售欺诈与宣传不符,2020-06-22,处理反馈
486914,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来行驶过程中发动机自动熄火,发动机熄火,2020-06-22,处理反馈
486909,领克汽车,领克03,2019款 1.5TD DCT 劲Pro版 国VI,领克03车机系统卡顿希望厂家尽快解决,车身附件及电器车载互联故障,2020-06-22,处理反馈
486906,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77排气管严重生锈4S店拒绝更换,车身附件及电器排气管锈蚀服务态度不予索赔,2020-06-22,信息审核
486905,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L高压油泵故障导致启动困难,发动机无法启动车身附件及电器汽油泵故障,2020-06-22,处理反馈
486904,上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观低速转弯时异响希望处理,转向系统异响,2020-06-22,信息审核
486900,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳车灯漏水 发动机异响,发动机异响车身附件及电器车灯不亮,2020-06-22,信息审核
486897,长城汽车,哈弗H2,2017款 1.5T 自动 两驱精英型 蓝标,长城哈弗H2转向机异响要求厂家保修处理,转向系统异响服务态度不予索赔,2020-06-22,处理反馈
486893,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国VI,东风本田UR-V发动机怠速抖动 方向盘抖动,发动机怠速不稳转向系统抖动,2020-06-22,处理反馈
486892,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越4S店销售新车收取定位服务费,服务收费变相收费服务收费强制购买销售欺诈变更价格,2020-06-22,处理反馈
486891,东风雪铁龙,天逸 C5 AIRCROSS,2020款 360THP 悦享型,东风雪铁龙天逸C5 AIRCROSS汽油泵损坏,发动机故障灯亮发动机无法启动车身附件及电器汽油泵故障车身附件及电器天窗漏水,2020-06-22,处理反馈
486889,长安标致雪铁龙DS,DS6,2014款 1.6T 豪华版THP160,长安标致雪铁龙DS6发动机烧机油反复拖延,发动机烧机油服务态度故意拖延,2020-06-22,信息审核
486888,北汽新能源,北汽新能源EC,2018款 EC220 标准版,北汽新能源EC系列行驶中出现刹车失灵,制动系统刹车失灵,2020-06-22,处理反馈
486887,吉利汽车,帝豪GS,2019款 1.4T CVT 雅,吉利帝豪GS气囊报警刹车异响4S店不解决,发动机异响制动系统异响车身附件及电器影音系统故障车身附件及电器气囊故障服务态度不解决问题,2020-06-22,处理反馈
486883,吉利汽车,帝豪,2014款 1.3T 手动 尊贵型 三厢,吉利帝豪发动机正时盖渗油更换正时盖未解决,发动机漏油人员技术多次返修,2020-06-22,处理反馈
486881,一汽大众,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5玲珑轮胎出现严重开裂的现象,轮胎开裂,2020-06-22,厂家受理
486877,上汽集团,名爵HS,无,上汽名爵HS经销商出售问题车不退还订金,服务收费定（订）金纠纷销售欺诈出售问题车,2020-06-22,处理反馈
486876,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越挡位灯与宣传不符厂家不回复,服务态度厂家不回复销售欺诈与宣传不符,2020-06-22,处理反馈
486875,上汽集团,荣威RX5 MAX,2019款 300TGI 自动 4G互联豪华版,上汽荣威RX5 MAX系统信息与实际不符,销售欺诈出售问题车销售欺诈与宣传不符,2020-06-22,处理反馈
486873,一汽奔腾,奔腾B50,2016款 1.6L 手动 豪华型,一汽奔腾B50空调系统故障厂家未回复,车身附件及电器空调问题服务态度厂家不回复,2020-06-22,信息审核
486872,奥迪（进口）,奥迪Q7,2019款 55 TFSI S line运动型,奥迪Q7两前车窗升降失灵影响正常使用,车身附件及电器车窗升降故障,2020-06-22,信息审核
486871,广汽乘用车,传祺GS7,2017款 320T 两驱 豪华智联型,广汽传祺GS7发动机冷却液减少要求解决,发动机冷却系统故障,2020-06-22,处理反馈
486869,江铃福特,领界,2019款 EcoBoost 145 CVT 尊领型 国VI,江铃福特领界发动机异响希望尽快处理,发动机异响,2020-06-22,处理反馈
486868,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控台屏幕右上角脱胶,车身附件及电器部件开裂,2020-06-22,信息审核
486866,长安汽车,长安CS55,2017款 1.5T 手动 炫动型,长安CS55轮毂氧化脱皮存在质量问题,车身附件及电器轮毂问题,2020-06-22,厂家受理
486863,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L天窗堵塞漏水气囊故障灯亮,车身附件及电器气囊故障车身附件及电器天窗漏水,2020-06-22,信息审核
486861,上汽集团,名爵6,2017款 20T 手动 豪华智联版 国V,上汽名爵6事故维修售后承诺给予补偿未兑现,人员技术修出新问题承诺不兑现服务承诺不兑现配件争议未更换定损配件,2020-06-22,用户评分
486860,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后死机卡顿严重,车身附件及电器车载互联故障服务流程不完善系统升级问题,2020-06-22,处理反馈
486859,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾车漆多处腐蚀4S店拒绝处理,车身附件及电器漆面起泡开裂服务态度否认质量问题,2020-06-22,处理反馈
486855,吉利汽车,远景,2020款 1.5L 手动 亚运版,吉利远景倒车影像花屏4S店不回复,车身附件及电器影音系统故障,2020-06-22,处理反馈
486852,上汽大众,途安,2011款 1.4TSI DSG 智雅版 5座,上汽大众途安变速箱顿挫厂家否认质量问题,变速器顿挫服务态度否认质量问题,2020-06-22,信息审核
486851,奇瑞汽车,艾瑞泽7,2015款 1.6L CVT 致享版,奇瑞艾瑞泽7加速时空调压缩机异响,车身附件及电器空调问题,2020-06-22,处理反馈
486849,长安汽车,逸动XT,2018款 1.6L GDI 自动 锐潮型 国V,长安逸动XT排气管无隔热瓦导致车内高温,其他疑似设计缺陷,2020-06-22,信息审核
486847,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机黑屏死机宣传与实车搭载不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-22,处理反馈
486842,英菲尼迪（进口）,英菲尼迪Q50,2014款 2.0T 舒适版,英菲尼迪Q50发动机灯亮 启停系统故障,发动机故障灯亮车身附件及电器发动机启停系统故障,2020-06-22,信息审核
486841,奇瑞汽车,捷途X70,2020款 1.5T DCT 悦行版 7座,捷途X70车门螺丝生锈希望得到处理,车身附件及电器车身生锈,2020-06-22,处理反馈
486838,一汽丰田,卡罗拉,2011款 1.8 CVT GL-i,一汽丰田卡罗拉掉毂掉漆氧化希望处理,车身附件及电器轮毂问题,2020-06-22,信息审核
486836,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜发白 车灯亮度低,车身附件及电器车灯不亮,2020-06-22,处理反馈
486830,吉利汽车,星越,2019款 350T 驭星者,吉利星越出现死机现象系统版本不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-22,处理反馈
486824,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越后防撞梁材料存在不同程度缩水,销售欺诈与宣传不符其他疑似设计缺陷,2020-06-22,处理反馈
486821,上汽通用五菱,宝骏630,2011款 1.5L 手动 舒适型,宝骏630车门生锈多次维修无法解决,车身附件及电器车身生锈,2020-06-22,处理反馈
486820,广汽本田,凌派,2015款 1.8 自动 豪华版,广汽本田凌派变速箱渗油4S店不予索赔,变速器漏油服务态度不予索赔,2020-06-22,处理反馈
486819,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7发动机冷启动异响4S店无法解决,发动机异响服务态度不解决问题,2020-06-22,处理反馈
486818,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙发动机机油增多要求解决,发动机机油增多,2020-06-22,信息审核
486817,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫主驾侧车门接触开关损坏,车身附件及电器传感器故障,2020-06-22,处理反馈
486812,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越车辆停放后出现多处故障无法行驶,车身附件及电器车身模块故障,2020-06-22,处理反馈
486810,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 尊贵型 三厢 国V,长安马自达昂克赛拉高速共振 后视镜打不开,车身附件及电器车身共振车身附件及电器后视镜故障,2020-06-22,信息审核
486809,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机启动异响 变速箱顿挫,发动机异响变速器顿挫,2020-06-22,处理反馈
486807,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动起步时变速器异响顿挫明显,变速器异响变速器顿挫,2020-06-21,信息审核
486805,东风标致,标致308,2013款 1.6L 自动 优尚型,东风标致308变速箱顿挫 故障灯亮 无法提速,变速器顿挫变速器故障灯亮变速器无法加速,2020-06-21,用户评分
486802,北京奔驰,奔驰C级,2019款 C 260 运动版,北京奔驰C级4S店服务态度差 维修技术差,服务态度态度蛮横人员技术维修技术差服务流程不完善未经同意维修服务流程不完善无维修工单,2020-06-21,信息审核
486800,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408固特异轮胎开裂鼓包,轮胎开裂,2020-06-21,用户评分
486799,东风本田,本田XR-V,2017款 1.8L EXi CVT 舒适版,东风本田XR-V发动机挂挡后抖动 刹车异响,发动机抖动制动系统异响,2020-06-21,处理反馈
486798,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱降挡是异响严重,变速器异响,2020-06-21,处理反馈
486795,奇瑞新能源,瑞虎3xe,2018款 480 畅行版,奇瑞瑞虎3xe电池电量消耗速度过快,车身附件及电器动力电池故障,2020-06-21,厂家受理
486793,吉利汽车,吉利GX7,2014款 1.8L 手动 超值版,吉利GX7转向系统漏油 4S店服务态度差,转向系统漏油配件争议未按时到货,2020-06-21,处理反馈
486792,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾变速箱机电控制单元损坏,变速器滑阀箱故障,2020-06-21,处理反馈
486791,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度冷车启动VTC作动器出现异响,发动机异响,2020-06-21,信息审核
486782,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机死机车机系统与宣传不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,处理反馈
486780,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL变速箱异响发动机皮带掉齿,发动机皮带断裂变速器异响,2020-06-21,信息审核
486779,东风悦达起亚,焕驰,2019款 1.4L 手动 智享版Value 国VI,东风悦达起亚焕驰变速箱顿挫 怠速转速高,发动机怠速不稳变速器顿挫,2020-06-21,处理反馈
486778,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾车内存在刺鼻的异味,车身附件及电器车内异味,2020-06-21,处理反馈
486770,一汽大众,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5发动机抖动故障灯亮发动机舱漏水,发动机抖动发动机故障灯亮车身附件及电器车身漏水,2020-06-21,信息审核
486768,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机死机系统版本与宣传不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,处理反馈
486766,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机版本升级后依然卡顿,服务流程不完善系统升级问题,2020-06-21,处理反馈
486762,林肯（进口）,林肯MKX,2017款 2.0T 四驱 尊雅版,林肯MKX经销商收取续保押金不退还,服务收费定（订）金纠纷,2020-06-21,信息审核
486760,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3前挡风玻璃开裂 变速箱脱挡,变速器脱挡车身附件及电器玻璃开裂,2020-06-21,厂家受理
486759,吉利汽车,帝豪GL,2017款 1.3T 自动 尊贵型,吉利帝豪GL自适应巡航故障4S店过度维修,人员技术过度维修,2020-06-21,处理反馈
486758,长城汽车,哈弗H8,2015款 2.0T 两驱 标准型 5座,哈弗H8天窗排水管堵塞电器控制模块浸水失灵,车身附件及电器天窗漏水,2020-06-21,处理反馈
486757,北京现代,名图,2017款 1.6T 自动 智能型 GLS,北京现代名图天窗异响 转向异响,转向系统异响车身附件及电器天窗异响,2020-06-21,信息审核
486756,东风标致,标致3008,2016款 2.0L 自动 潮流版,东风标致3008米其林轮胎出现开裂的现象,轮胎开裂,2020-06-21,处理反馈
486755,吉利汽车,缤越,2020款 PRO 240T DCT 猎手,吉利缤越油箱起火导致车辆着火自燃,车身附件及电器车辆自燃,2020-06-21,处理反馈
486751,上汽集团,名爵ZS,2020款 260TGI 自动 Trophy Plus L2+,上汽名爵ZS发动机异响 方向盘按键故障,发动机异响车身附件及电器影音系统故障,2020-06-21,用户评分
486750,广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度头枕插杆无防锈处理无法调整,车身附件及电器部件异常磨损,2020-06-21,处理反馈
486749,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越限量徽章与官方宣传不一致,销售欺诈与宣传不符,2020-06-21,处理反馈
486738,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸副驾驶门锁不住刹车异响,制动系统异响车身附件及电器中控锁故障,2020-06-21,信息审核
486737,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度冷车启动时发动机异响严重,发动机异响,2020-06-21,处理反馈
486730,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机更新后呼叫启动没反应,服务流程不完善系统升级问题,2020-06-21,用户评分
486729,上汽通用五菱,五菱宏光,2014款 1.5L 标准型,上汽通用五菱宏光发动机报警怠速高,发动机故障灯亮发动机噪音大,2020-06-21,处理反馈
486728,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机升级后依然卡顿要求处理,服务流程不完善系统升级问题,2020-06-21,处理反馈
486727,吉利汽车,帝豪,2017款 1.5L CVT 豪华型 三厢 百万款,吉利帝豪起步时变速箱顿挫要求处理,变速器顿挫,2020-06-21,处理反馈
486722,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越车机无法升级 门窗漏风 刹车异响,制动系统异响车身附件及电器门窗漏风承诺不兑现服务承诺不兑现,2020-06-21,处理反馈
486721,奇瑞新能源,奇瑞eQ1,2017款 智享版,奇瑞eQ1动力电池故障导致报警希望处理,车身附件及电器动力电池故障,2020-06-21,厂家受理
486717,长安汽车,锐程CC,2020款 1.5T 自动 潮锐型,长安锐程CC无法升挡影响正常使用,变速器无法换挡,2020-06-21,处理反馈
